Max_spout,Spliters,Counters
10000.0,3,10
10000.0,3,11
10000.0,3,12
10000.0,3,13
10000.0,3,14
10000.0,3,15
10000.0,3,16
10000.0,3,17
10000.0,3,18
10000.0,4,1
10000.0,4,2
10000.0,4,3
10000.0,4,4
10000.0,4,5
10000.0,4,6
10000.0,4,7
10000.0,4,8
10000.0,4,9
10000.0,4,10
10000.0,4,11
10000.0,4,12
10000.0,4,13
10000.0,4,14
10000.0,4,15
10000.0,4,16
10000.0,4,17
10000.0,4,18
10000.0,5,1
10000.0,5,2
10000.0,5,3
10000.0,5,4
10000.0,5,5
10000.0,5,6
10000.0,5,7
10000.0,5,8
10000.0,5,9
10000.0,5,10
10000.0,5,11
10000.0,5,12
10000.0,5,13
10000.0,5,14
10000.0,5,15
10000.0,5,16
10000.0,5,17
10000.0,5,18
10000.0,6,1
10000.0,6,2
10000.0,6,3
10000.0,6,4
10000.0,6,5
10000.0,6,6
10000.0,6,7
10000.0,6,8
10000.0,6,9
10000.0,6,10
10000.0,6,11
10000.0,6,12
10000.0,6,13
10000.0,6,14
10000.0,6,15
10000.0,6,16
10000.0,6,17
10000.0,6,18
100000.0,1,1
100000.0,1,2
100000.0,1,3
100000.0,1,4
100000.0,1,5
100000.0,1,6
100000.0,1,7
100000.0,1,8
100000.0,1,9
100000.0,1,10
100000.0,1,11
100000.0,1,12
100000.0,1,13
100000.0,1,14
100000.0,1,15
100000.0,1,16
100000.0,1,17
100000.0,1,18
100000.0,2,1
100000.0,2,2
100000.0,2,3
100000.0,2,4
100000.0,2,5
100000.0,2,6
100000.0,2,7
100000.0,2,8
100000.0,2,9
100000.0,2,10
100000.0,2,11
100000.0,2,12
100000.0,2,13
100000.0,2,14
100000.0,2,15
100000.0,2,16
100000.0,2,17
100000.0,2,18
100000.0,3,1
100000.0,3,2
100000.0,3,3
100000.0,3,4
100000.0,3,5
100000.0,3,6
100000.0,3,7
100000.0,3,8
100000.0,3,9
100000.0,3,10
100000.0,3,11
100000.0,3,12
100000.0,3,13
100000.0,3,14
100000.0,3,15
100000.0,3,16
100000.0,3,17
100000.0,3,18
100000.0,4,1
100000.0,4,2
100000.0,4,3
100000.0,4,4
100000.0,4,5
100000.0,4,6
100000.0,4,7
100000.0,4,8
100000.0,4,9
100000.0,4,10
100000.0,4,11
100000.0,4,12
100000.0,4,13
100000.0,4,14
100000.0,4,15
100000.0,4,16
100000.0,4,17
100000.0,4,18
100000.0,5,1
100000.0,5,2
100000.0,5,3
100000.0,5,4
100000.0,5,5
100000.0,5,6
100000.0,5,7
100000.0,5,8
100000.0,5,9
100000.0,5,10
100000.0,5,11
100000.0,5,12
100000.0,5,13
100000.0,5,14
100000.0,5,15
100000.0,5,16
100000.0,5,17
100000.0,5,18
100000.0,6,1
100000.0,6,2
100000.0,6,3
100000.0,6,4
100000.0,6,5
100000.0,6,6
100000.0,6,7
100000.0,6,8
100000.0,6,9
100000.0,6,10
100000.0,6,11
100000.0,6,12
100000.0,6,13
100000.0,6,14
100000.0,6,15
100000.0,6,16
100000.0,6,17
100000.0,6,18
1000000.0,1,1
1000000.0,1,2
1000000.0,1,3
1000000.0,1,4
1000000.0,1,5
1000000.0,1,6
1000000.0,1,7
1000000.0,1,8
1000000.0,1,9
1000000.0,1,10
1000000.0,1,11
1000000.0,1,12
1000000.0,1,13
1000000.0,1,14
1000000.0,1,15
1000000.0,1,16
1000000.0,1,17
1000000.0,1,18
1000000.0,2,1
1000000.0,2,2
1000000.0,2,3
1000000.0,2,4
1000000.0,2,5
1000000.0,2,6
1000000.0,2,7
1000000.0,2,8
1000000.0,2,9
1000000.0,2,10
1000000.0,2,11
1000000.0,2,12
1000000.0,2,13
1000000.0,2,14
1000000.0,2,15
1000000.0,2,16
1000000.0,2,17
1000000.0,2,18
1000000.0,3,1
1000000.0,3,2
1000000.0,3,3
1000000.0,3,4
1000000.0,3,5
1000000.0,3,6
1000000.0,3,7
1000000.0,3,8
1000000.0,3,9
1000000.0,3,10
1000000.0,3,11
1000000.0,3,12
1000000.0,3,13
1000000.0,3,14
1000000.0,3,15
1000000.0,3,16
1000000.0,3,17
1000000.0,3,18
1000000.0,4,1
1000000.0,4,2
1000000.0,4,3
1000000.0,4,4
1000000.0,4,5
1000000.0,4,6
1000000.0,4,7
1000000.0,4,8
1000000.0,4,9
1000000.0,4,10
1000000.0,4,11
1000000.0,4,12
1000000.0,4,13
1000000.0,4,14
1000000.0,4,15
1000000.0,4,16
1000000.0,4,17
1000000.0,4,18
1000000.0,5,1
1000000.0,5,2
1000000.0,5,3
1000000.0,5,4
1000000.0,5,5
1000000.0,5,6
1000000.0,5,7
1000000.0,5,8
1000000.0,5,9
1000000.0,5,10
1000000.0,5,11
1000000.0,5,12
1000000.0,5,13
1000000.0,5,14
1000000.0,5,15
1000000.0,5,16
1000000.0,5,17
1000000.0,5,18
1000000.0,6,1
1000000.0,6,2
1000000.0,6,3
1000000.0,6,4
1000000.0,6,5
1000000.0,6,6
1000000.0,6,7
1000000.0,6,8
1000000.0,6,9
1000000.0,6,10
1000000.0,6,11
1000000.0,6,12
1000000.0,6,13
1000000.0,6,14
1000000.0,6,15
1000000.0,6,16
1000000.0,6,17
1000000.0,6,18
