A-,B-
234.87,29
240.16,29
238.78,28
242.92,28
236.89,29
239.66,28
241.7,29
244.5,28
237.75,29
242.79,29
239.27,29
243.37,29
241.02,28
241.97,28
245.16,28
245.94,28
238.1,28
242.81,28
240.22,28
244.49,28
239.93,28
242.09,28
244.59,28
246.03,28
238.7,28
242.56,28
240.41,28
244.26,28
241.33,28
242.86,28
245.22,28
246.76,28
238.73,28
243.52,28
240.98,28
244.73,28
239.37,28
241.7,28
243.12,28
245.76,28
239.56,28
244.28,28
240.21,28
243.96,28
241.83,28
242.74,28
245.7,28
246.48,28
240.34,28
245.2,28
242.43,28
246.5,28
241.23,28
243.26,28
246.16,28
247.28,28
240.98,28
244.61,28
241.78,28
245.6,28
243.44,28
244.23,28
247.17,28
248.02,28
230.17,16
236.24,16
233.67,15
238.62,15
231.04,15
235.17,15
235.92,15
239.98,15
232.86,16
238.78,16
233.43,15
238.25,15
235.97,15
237.44,15
240.99,15
242.16,15
232.33,16
238.25,16
235.35,15
240.23,15
234.65,16
237.87,15
240.99,16
242.55,15
232.96,15
237.69,15
235.53,16
240.05,15
237.04,15
239.32,15
241.57,15
244.03,15
244.91,19
251.58,19
247.5,19
253.05,19
245.32,19
248.97,19
250.62,19
253.96,19
246.94,20
253.26,20
247.27,20
252.14,20
249.57,20
250.68,20
254.26,20
255.47,20
247.08,19
253.64,19
249.81,19
255.02,19
249.12,20
251.52,20
255.47,20
256.45,20
247.72,19
252.68,19
249.34,20
254.14,20
251.0,19
252.58,20
256.18,19
257.51,20
231.33,16
237.5,16
234.55,15
239.56,15
231.91,15
235.97,15
236.84,15
240.83,15
234.25,16
240.62,16
235.03,15
239.79,15
237.52,15
239.06,15
242.5,15
243.78,15
246.73,20
253.15,19
249.39,20
254.34,19
248.89,20
251.41,20
255.39,19
256.47,19
247.08,20
252.06,20
249.28,20
254.13,20
250.49,20
252.51,20
255.36,20
257.54,20
233.74,16
240.07,16
236.95,15
241.9,15
234.34,15
238.46,15
239.24,15
243.28,15
248.54,20
254.89,19
248.81,20
253.65,20
251.01,20
252.14,20
255.87,20
256.97,20
236.23,16
242.46,16
239.51,15
244.25,15
250.73,20
253.1,20
257.17,19
258.05,20
236.89,15
241.69,15
250.86,20
255.62,20
240.54,15
254.24,20
245.34,15
258.83,20
212.45,26
213.27,26
215.61,26
216.64,26
213.53,26
216.59,26
214.33,26
217.4,26
214.37,26
215.13,27
215.29,26
216.22,26
217.55,26
218.43,26
218.4,26
219.5,26
213.48,28
214.28,29
216.72,29
217.68,28
215.19,29
218.3,29
216.23,28
219.31,28
214.65,28
215.48,28
216.27,29
217.07,29
217.65,28
219.37,29
218.59,28
220.08,28
212.92,29
213.86,29
215.99,27
217.06,28
214.0,28
217.19,27
215.03,29
218.07,28
214.24,29
215.02,28
215.18,28
216.3,28
217.4,28
218.4,28
218.5,28
219.31,28
214.89,29
215.85,28
218.02,27
218.96,28
216.06,29
219.08,29
216.87,28
219.83,28
215.96,28
216.91,29
216.91,29
218.04,28
219.05,29
219.87,29
219.95,27
220.87,28
241.78,14
243.79,14
246.13,14
246.96,14
243.08,14
247.37,14
244.12,14
248.2,14
256.94,11
259.39,11
261.01,12
260.88,12
264.18,11
265.38,11
264.64,11
266.32,11
255.44,12
257.17,12
261.84,12
263.31,12
257.71,12
264.18,12
259.5,12
264.74,12
257.68,12
259.37,12
260.82,12
261.53,12
262.48,12
265.65,12
264.29,12
266.19,12
256.06,12
258.16,12
263.13,12
263.58,12
259.38,12
263.75,12
260.41,12
264.51,12
257.04,12
259.38,12
260.77,12
261.43,12
263.58,12
263.78,12
264.04,12
265.69,12
258.9,12
261.08,12
265.4,12
266.03,12
259.69,12
266.12,12
262.01,12
267.17,12
261.9,12
263.04,12
263.19,12
263.57,12
266.39,12
267.07,12
266.54,12
267.43,12
228.3,29
232.62,28
232.18,28
236.21,28
230.24,28
233.33,28
234.1,28
237.13,28
230.47,29
234.7,28
232.03,28
235.73,28
234.05,28
235.12,28
237.9,28
238.75,28
231.22,29
235.51,28
234.01,28
237.89,27
233.12,29
235.7,28
237.51,28
239.59,27
231.89,28
235.85,28
233.79,28
237.47,28
234.95,28
236.59,28
238.82,28
240.35,28
243.93,16
249.66,16
246.39,15
250.88,15
243.81,16
247.63,15
248.4,16
252.21,15
245.79,16
251.91,16
245.56,16
250.26,15
248.07,15
249.3,15
252.75,15
253.98,15
246.38,16
252.13,15
248.78,15
253.39,15
248.6,16
250.44,15
254.27,16
255.17,15
246.09,15
250.57,16
248.06,15
252.52,15
250.04,15
251.57,15
254.59,15
256.22,15
230.79,29
235.21,28
233.55,28
237.33,28
231.44,29
234.24,28
235.31,27
238.2,28
232.49,28
237.06,28
233.12,28
236.98,28
235.23,27
235.95,27
239.04,28
239.96,28
245.21,16
251.09,15
247.37,15
252.04,15
247.79,15
249.68,15
253.82,16
254.39,15
244.85,15
249.56,15
247.01,15
252.04,15
249.09,15
251.25,15
253.54,15
255.64,15
232.22,28
236.64,28
234.77,27
238.74,28
232.64,29
235.57,28
236.58,28
239.5,28
246.94,16
252.89,16
246.5,15
251.03,15
249.05,15
250.23,15
253.74,15
255.12,15
234.05,28
238.56,28
236.38,27
240.43,28
249.62,16
251.31,15
255.42,15
256.23,15
234.45,28
238.27,28
248.74,16
253.47,15
237.35,28
252.62,15
241.23,28
257.33,15
230.74,29
232.0,28
233.45,29
234.27,28
231.0,29
233.66,28
232.05,27
234.87,28
232.22,29
233.54,28
232.65,27
233.85,27
235.16,28
236.06,29
236.36,28
237.1,28
231.62,28
232.64,28
233.43,28
234.42,28
233.0,28
234.87,28
234.22,28
235.85,28
231.63,27
232.59,28
232.99,27
234.25,28
235.07,28
236.53,29
236.17,28
237.7,28
231.32,29
232.47,28
233.23,28
234.38,28
231.76,29
234.61,28
232.98,28
235.91,28
233.0,29
234.06,28
233.15,29
234.13,28
234.92,28
235.79,28
235.96,28
236.74,28
233.42,28
234.47,29
235.37,28
236.43,28
234.56,28
236.35,28
235.78,28
237.41,28
233.43,29
234.75,28
234.65,29
235.79,28
236.31,28
237.23,28
237.36,28
238.23,28
246.0,28
249.99,28
248.69,28
252.18,28
246.81,28
249.5,28
250.24,28
252.84,28
247.69,28
251.74,28
248.34,28
251.71,28
250.05,28
250.87,28
253.51,28
254.34,28
247.8,28
251.85,28
249.58,28
252.99,28
249.44,28
251.01,28
253.49,28
254.47,28
247.61,28
251.32,28
249.41,28
252.81,28
250.28,28
251.79,28
254.42,28
255.21,28
247.99,28
251.93,28
249.72,28
253.12,28
248.06,28
250.34,28
251.43,28
254.07,28
249.04,28
252.82,28
248.9,28
252.28,28
250.53,28
251.36,28
254.12,28
255.01,28
250.07,28
253.74,28
251.16,28
254.5,28
250.6,28
251.98,28
254.42,28
255.32,28
249.46,28
252.87,28
250.48,28
253.57,28
251.81,28
252.77,28
255.43,28
256.25,28
244.92,16
247.47,16
248.02,16
248.9,16
245.5,17
249.05,16
246.32,16
250.16,16
247.25,16
249.79,16
247.43,17
248.43,17
250.12,16
251.24,16
251.24,16
252.27,16
246.61,18
249.25,18
249.01,18
250.24,18
248.71,18
251.02,18
251.3,18
252.09,18
246.65,18
247.87,18
248.65,18
249.83,18
249.83,18
251.91,18
251.15,18
253.15,18
258.56,18
264.6,18
260.33,19
264.99,19
258.02,19
261.44,19
262.74,19
266.1,19
260.5,19
266.45,18
259.76,19
264.47,20
261.85,19
262.95,19
266.52,19
267.85,19
261.09,18
267.04,18
262.66,19
267.28,19
262.68,19
264.16,19
268.8,18
268.58,19
260.17,19
264.93,19
261.68,19
266.21,20
263.72,19
264.93,19
268.42,19
269.52,19
245.79,18
248.19,17
248.42,18
249.49,18
246.01,19
249.53,18
247.26,18
250.6,18
247.67,18
250.37,17
248.03,19
249.3,19
250.45,18
251.52,18
251.25,18
252.5,18
260.17,18
266.11,18
261.69,19
266.48,19
262.22,18
263.79,19
268.41,18
268.38,19
259.26,19
264.17,20
261.36,19
266.09,19
262.6,19
264.6,19
267.32,19
269.38,19
247.13,18
249.74,17
249.6,18
250.61,18
247.31,18
250.75,18
248.58,18
251.8,18
261.57,19
267.59,18
260.69,19
265.42,19
262.94,19
263.82,19
267.51,19
268.55,19
249.34,18
251.79,17
251.52,18
252.68,18
263.59,19
264.74,19
269.47,18
269.47,19
249.36,18
250.43,18
262.11,19
267.17,19
252.45,18
265.82,19
253.67,18
270.4,19
