PSNR-,Energy-
47.17,2720.701763
32.186,2094.205718
32.242,2734.712815
47.116,6220.233006
48.105,2273.823285
48.105,2295.896918
42.016,1635.878781
44.477,2430.333077
48.083,1675.370357
44.447,1484.564487
48.111,3926.519431
44.5,3024.838692
48.227,2402.531064
44.171,1941.119447
48.088,2299.2784
44.466,1928.437833
39.542,2306.34543
28.036,1946.010868
48.188,2275.816551
44.49,1879.420031
48.105,2275.316582
44.48,1902.178351
48.105,2286.132874
44.48,1899.336094
45.793,2059.635772
47.107,2715.776811
44.48,1861.976316
48.105,2304.897936
44.48,1884.463887
48.105,2274.383462
45.719,2101.488328
47.043,2723.866199
45.843,2120.70873
47.123,2795.367173
45.979,1043.183709
45.979,1057.02254
45.78,2056.293301
47.109,2531.158758
47.119,2194.425189
47.119,2200.573864
47.119,2171.972348
47.119,2163.825388
47.105,2222.113303
47.105,2227.93837
46.883,2282.565778
46.883,2273.032956
47.128,3637.553973
47.128,3606.152622
47.076,1672.075051
47.076,1655.202692
32.24,1688.474118
47.122,1642.459798
32.242,3710.106273
47.188,3653.667945
32.242,2209.382458
47.181,2168.680351
32.242,2230.149781
47.181,2196.80322
32.24,2194.519066
47.126,2160.095814
32.058,2178.083693
47.162,2122.501956
32.234,2291.324444
46.938,2263.856825
32.241,2246.945997
47.166,2223.544889
47.054,2241.790222
47.054,2272.402251
47.142,2298.841304
47.142,2294.178261
47.067,2165.27907
47.067,2157.725581
47.097,2137.399048
47.097,2141.428184
47.119,2184.556364
47.119,2187.936962
45.979,1056.390693
45.979,1033.130159
47.114,2190.526166
47.114,2199.599848
47.105,2213.783035
47.105,2221.959259
46.883,2271.721257
46.883,2270.080808
47.097,2151.296221
47.097,2140.698136
47.067,2161.648837
47.067,2165.588372
47.142,2297.429348
47.142,2282.094138
47.054,2266.770318
47.054,2255.552399
47.114,2203.733712
47.114,2201.054356
45.979,1046.123467
45.979,1036.952381
47.193,2277.421607
33.57,2291.673913
47.062,2246.587852
37.458,2292.26087
47.167,2189.802389
32.776,2217.889269
45.979,1066.744935
44.995,1045.05938
47.181,2196.446515
32.242,2212.937835
47.128,3635.035173
47.128,3657.008219
47.076,1669.2875
47.076,1666.885717
45.979,1045.325902
45.979,1057.029149
47.061,1669.577617
47.115,3671.770727
47.076,1653.979008
47.128,3653.983562
47.119,2198.282008
47.119,2196.982386
46.903,3793.326878
46.826,1681.545484
47.123,3666.352831
47.051,1700.485854
47.083,3680.34411
47.026,1641.435145
47.111,3389.27787
47.07,1646.04404
47.058,3853.371082
47.012,1715.878465
47.15,3838.820907
47.089,1739.919238
45.979,1075.654488
45.979,1035.326984
47.063,2171.699535
47.091,2173.913488
46.998,2225.460707
47.033,2202.322929
47.071,2258.939397
47.119,2204.166554
46.883,2292.673778
47.105,2219.824714
45.979,1063.921486
45.979,1049.323651
46.876,2257.763572
47.101,2224.929007
47.114,2206.597121
45.979,1031.092063
47.142,2294.504348
47.054,2255.419804
45.979,1042.472771
45.979,1033.972698
47.125,2184.136339
47.055,2238.706963
47.097,2158.8
47.067,2153.964057
45.722,2013.09875
47.028,2703.99587
45.791,2027.988045
47.079,2706.888233
32.931,2052.635447
32.998,2722.156725
45.722,2040.522866
47.028,2677.404066
45.722,2011.9125
47.028,2685.195482
48.028,2260.635259
48.028,2271.560409
41.888,1601.046667
44.32,2418.975287
47.119,2191.000409
46.951,2719.424729
45.639,2061.782114
47.016,2619.639692
46.895,2078.292397
46.997,2652.964364
45.383,1951.102078
47.018,2724.080401
45.621,2021.096362
46.825,2793.66418
46.345,2162.569963
47.035,4101.912698
45.735,3462.109649
46.98,2204.180453
45.668,1484.86718
47.028,2702.408827
45.722,2010.88875
44.327,1867.395646
48.028,2257.030519
44.327,1880.356698
48.028,2260.315852
28.033,1906.963419
40.251,2302.889629
45.78,2095.278451
47.048,2774.222563
45.998,1101.361831
45.998,1100.395165
45.71,2039.944317
47.027,2517.934641
45.722,2029.652711
47.028,2675.219643
48.032,3848.385108
44.34,2936.578614
48.153,2395.432057
44.077,1903.28542
48.11,2269.565749
44.384,1866.914615
48.028,2269.322782
44.327,1884.666903
48.028,2268.069746
44.327,1871.711448
47.995,1669.544468
44.273,1448.516513
46.883,2259.364148
47.053,2137.819535
46.883,2274.401384
46.913,2139.964035
46.812,2342.823913
47.044,2285.814212
46.883,2306.73258
47.132,2297.947111
47.062,2250.084081
47.062,2281.408834
45.998,1097.441001
45.998,1114.194796
47.018,2111.695022
47.018,2110.738571
46.962,2234.991407
46.962,2250.907871
47.094,2157.437196
32.998,2224.584642
47.024,2165.537956
47.024,2187.112199
47.037,2172.593665
47.037,2166.725391
32.999,3696.068919
47.097,3626.949226
32.99,2285.412427
46.87,2264.788545
32.998,2214.174238
47.094,2171.172503
32.996,1686.513529
47.038,1638.794343
32.781,2145.082654
47.078,2113.653292
38.578,2269.3903
46.966,2236.432
32.997,2223.988148
47.066,2219.998815
32.997,2149.143256
47.055,2160.727442
47.094,2172.15685
32.998,2207.202138
47.081,2187.483421
33.588,2206.184822
45.998,1098.391989
45.729,1104.040632
47.111,2269.364499
34.347,2287.8
46.828,2257.966254
46.828,2266.055181
47.035,3596.790972
47.035,3598.031829
46.986,1661.588688
46.986,1633.486869
46.962,2251.583225
46.962,2249.562186
47.018,2102.917524
47.018,2123.145736
47.005,2143.459667
47.005,2132.782438
47.01975,2202.280804
47.01975,2222.342222
47.037,2143.655131
47.037,2176.520428
47.024,2169.640839
47.024,2180.829004
45.998,1096.617243
45.998,1125.448798
47.062,2267.608667
47.062,2265.779255
48.01,2292.71087
44.301,1866.774359
48.07,2211.222879
44.305,1827.113514
44.327,1869.29623
48.028,2246.920296
44.319,1899.106208
48.033,2256.183111
32.998,2199.676707
32.998,2204.054121
44.169,1949.116
47.977,2308.121739
44.255,1830.998919
48.013,2232.619189
41.21,1011.07381
48.739,1192.690556
44.325,1974.98035
48.057,2331.041363
46.828,2242.476061
46.828,2259.824562
47.035,3626.541317
47.035,3602.710926
47.005,2160.48
47.005,2137.784585
47.0198,2200.150559
47.02,2216.156333
47.037,2195.37803
47.037,2166.358708
47.094,2162.243347
47.094,2178.552054
46.986,1646.912026
46.986,1656.247166
47.037,2183.091847
47.037,2168.208364
45.979,1046.96697
45.979,1059.682879
45.78,2038.390177
46.851,3740.00045
47.109,2527.247762
46.731,1655.327582
47.02,3646.456739
46.958,1677.868824
47.005,3636.27055
46.942,1620.270928
47.03,3058.518345
46.976,1613.814078
46.972,3831.836471
46.921,1685.461765
47.078,3804.939474
47.005,1738.313143
45.998,1096.347299
45.998,1107.61653
46.975,1650.31366
47.036,3619.222404
46.986,1641.832727
47.035,3618.623393
46.828,2253.874128
46.984,2149.897446
46.828,2238.38827
46.819,2092.855383
46.754,2321.62477
46.945,2271.678252
46.833,2264.267185
47.052,2325.465689
45.998,1105.086614
45.998,1109.627009
48.105,2278.336818
47.02,2208.856492
48.105,2268.063111
46.828,2240.091515
42.016,1628.569366
47.013,2217.980643
44.477,2421.081003
46.825,2239.941667
45.793,2039.587413
46.949,2158.083721
47.107,2721.036131
46.924,2203.352576
45.793,2055.841701
47.107,2717.141896
45.849,2045.0085
45.998,1109.158063
45.998,1106.830145
47.17,2717.227089
47.042,2202.616462
32.186,2065.98212
47.014,2222.23235
32.242,2731.457568
47.018,2119.307538
45.793,2026.66582
47.005,2129.17076
47.107,2731.353606
47.005,2132.432458
45.793,2031.424973
46.99,2133.922684
47.107,2735.010526
45.998,1087.360909
47.117,4030.107555
45.998,1119.489289
45.801,3346.997208
47.074,2215.428652
45.74,1530.503208
46.962,2237.220741
47.104,2745.062879
47.062,2277.196229
45.69,2044.646953
46.967,2235.826902
46.89,2804.233418
47.036,2155.077037
46.392,2161.187584
45.998,1095.202503
47.095,2648.962415
47.024,2191.157773
46.965,2066.800165
47.055,2670.990252
45.41,1970.968194
47.037,2181.197364
47.123,2791.907417
45.843,2109.245197
47.043,2722.235407
45.719,2073.989245
45.979,1054.733903
45.979,1054.585729
47.114,2199.750412
47.114,2189.535978
47.054,2259.094031
47.054,2255.397754
47.142,2291.197251
47.142,2290.17033
32.242,2228.259935
47.181,2190.775232
32.242,2209.227999
47.181,2197.343434
47.119,2179.357054
47.119,2175.655134
46.938,2264.677705
32.234,2281.771556
47.1661,2219.240265
32.241,2249.546564
47.122,1662.712923
32.24,1685.577629
47.188,3530.040029
32.242,3595.75216
47.062,2261.927644
37.458,2255.134593
47.193,2297.386011
33.57,2301.628841
47.126,2159.499537
32.24,2183.897299
47.162,2132.300244
32.058,2154.818386
44.473,1901.904426
48.112,2271.482797
41.161,945.1022895
48.748,1137.66276
44.451,1980.860453
48.134,2354.839311
44.309,1949.204913
48.049,2327.772049
47.181,2193.498915
47.181,2186.48596
32.242,2209.963806
32.242,2201.173269
44.48,1899.219145
48.105,2264.937481
47.128,3540.032502
47.128,3541.220416
47.076,1657.664902
47.076,1677.903405
47.119,2183.252569
47.119,2182.599906
47.119,2201.339394
47.119,2176.932916
47.097,2135.92696
47.097,2132.858068
47.067,2165.965673
47.067,2166.502516
47.1049,2207.13679
47.105,2223.823868
46.883,2273.863586
46.883,2266.730862
45.793,2046.929569
47.107,2719.51343
44.48,1876.588221
48.105,2282.332979
44.48,1879.565837
48.105,2297.31615
28.036,1912.123207
39.542,2301.320786
44.49,1895.555834
48.188,2285.471513
48.105,2282.544101
44.48,1883.617892
48.105,2279.624431
44.48,1895.509379
48.083,1681.470951
44.447,1477.475853
48.111,3860.17611
44.5,2977.617779
48.227,2395.640196
44.171,1950.789474
48.088,2281.866172
44.466,1918.075778
48.148,2256.989727
44.421,1873.405574
48.097,2238.222714
44.401,1822.235387
47.167,2192.649928
32.776,2217.305833
45.979,1065.073896
44.995,1036.120635
47.181,2187.401672
32.242,2216.0032
47.097,2130.598738
47.067,2169.667109
47.091,2137.229502
47.063,2160.39887
45.979,1053.058918
45.979,1061.247165
47.119,2221.199956
47.071,2236.057892
47.033,2202.148305
46.998,2212.130997
47.105,2222.292333
46.883,2264.480842
47.119,2187.628258
45.979,1040.059668
47.114,2189.855078
47.054,2269.56961
47.142,2293.190246
47.055,2243.762226
47.125,2181.611642
45.979,1046.116797
45.979,1049.383824
47.058,3748.965927
47.012,1714.384289
47.15,3730.646492
47.089,1747.088788
45.979,1066.741977
45.979,1049.24329
47.115,3560.263405
47.061,1666.563372
46.903,3681.431799
46.826,1697.622234
47.123,3578.457668
47.051,1699.633479
47.083,3574.376078
47.026,1651.340189
47.111,3081.830226
47.07,1644.622626
46.812,2346.735921
47.044,2286.685791
46.883,2293.059163
47.132,2305.154795
45.979,1060.157338
45.979,1048.666371
46.876,2261.576475
47.101,2222.057677
47.076,1680.219495
47.128,3540.772803
46.883,2273.681288
47.053,2164.518444
46.883,2242.585359
46.913,2131.231821
47.128,3567.836701
47.128,3535.121198
47.076,1669.951847
47.076,1637.37241
47.105,2224.525926
47.105,2219.351243
46.883,2258.039116
46.883,2261.184823
47.114,2174.705647
47.114,2178.73402
45.979,1034.335871
45.979,1054.62494
47.119,2187.382121
47.119,2201.37197
47.097,2139.511769
47.097,2124.671964
47.067,2153.706106
47.067,2163.515504
47.142,2291.36402
47.142,2301.896739
47.054,2264.922233
47.054,2255.161581
53.387,3325.860136
54.168,3941.17572
29.991,1208.956538
29.991,1235.584744
54.17225,3436.319114
54.1725,3442.411985
51.622,2798.935542
55.448,3608.434104
27.152,1251.041667
30.665,1079.715646
29.108,1087.609453
29.999,1772.285897
54.181,5619.840715
54.153,2547.672843
30.023,1554.970568
30.017,1131.160764
25.786,1283.560684
29.936,1209.930385
54.2115,3421.515931
48.162,3452.961484
30.291,779.359375
29.936,1215.926256
30.481,1310.598446
29.71,1289.166667
54.168,3482.218652
54.362,1558.895161
54.261,3538.55
54.125,3522.25853
54.249,3422.628863
54.162,3384.376304
29.875,1236.656744
30.014,1196.371333
54.124,3455.952174
54.352,3589.628958
29.94,1283.340741
29.679,1386.433929
48.607,2799.688859
48.134,2368.531164
48.192,2770.186909
48.049,2316.441342
48.296,2615.039726
48.097,2216.433848
48.724,2734.43358
48.148,2278.561185
47.984,2663.528262
48.088,2281.424087
49.42,2965.831139
48.227,2395.410429
48.319,4420.333719
48.111,3695.113964
48.273,1952.972843
48.083,1688.828437
48.105,2288.80783
48.294,2681.061996
48.105,2292.385874
48.294,2682.525585
48.188,2286.704976
48.34,2682.065896
39.542,2297.293562
40.519,2728.714693
48.105,2265.719704
48.294,2703.508614
48.105,2278.27504
48.294,2693.182718
48.367,2445.235828
48.367,2425.191973
45.979,1047.298918
45.979,1059.842395
48.368,2439.944654
48.368,2445.64091
48.294,2491.952844
48.294,2490.843801
48.496,2513.278416
48.496,2501.665265
48.574,2426.78625
48.574,2426.518611
48.355,2379.387801
48.355,2382.565106
48.928,2602.213464
48.928,2594.709506
48.224,2398.41
48.224,2443.507477
48.348,1757.301333
48.348,1798.394312
48.371,3982.351841
48.371,3970.123424
48.367,2447.246708
48.367,2426.650351
48.367,2429.997385
48.367,2428.217871
41.195,2436.558699
41.195,2462.073469
48.419,2426.896287
48.419,2434.983566
48.367,2440.121168
48.367,2442.092806
48.367,2428.730609
48.367,2423.194402
48.294,2680.80375
48.105,2275.335295
48.105,2286.717237
48.297,2715.974239
48.105,2284.630441
48.112,2276.307304
48.294,2680.865786
41.161,941.9133684
48.294,2685.794139
48.748,1145.294493
48.367,2439.116213
48.367,2416.346701
48.367,2444.225733
48.367,2430.821397
54.17225,3413.10225
48.419,2426.007778
29.991,1220.750115
48.419,2435.053574
41.195,2441.161587
41.195,2440.8022
48.224,2433.750615
48.224,2404.335278
48.928,2604.318078
48.928,2599.684029
48.371,3972.995467
48.371,3969.199418
48.348,1775.880698
48.348,1798.843429
41.195,2463.640816
48.419,2413.456528
48.371,3866.220297
48.371,3890.859595
48.348,1782.425708
48.348,1785.23881
48.224,2423.739598
48.224,2427.536246
48.928,2598.697964
48.928,2600.838716
48.355,2378.477305
48.355,2391.850872
48.574,2429.116667
48.574,2443.819948
48.496,2510.494544
48.496,2495.340823
48.294,2484.563548
48.294,2479.642099
48.368,2431.899121
48.368,2416.036632
45.979,1080.819336
45.979,1048.402958
48.367,2451.55771
48.367,2428.780502
48.225,3829.288319
48.201,1775.654899
48.952,4139.978765
48.906,1868.715516
48.547,1768.479238
48.583,3918.509878
48.339,1758.027137
48.362,3502.027862
48.275,1812.403704
48.296,4009.222502
48.472,1807.996296
48.501,4014.161046
45.979,1066.798355
45.979,1036.977778
48.35,1792.14264
48.371,3861.959907
48.348,1778.141963
48.371,3826.045591
48.446,2404.142275
48.944,2602.637976
47.963,2321.14962
48.928,2593.452946
48.151,2470.039695
48.869,2661.527323
48.393,2503.576599
48.927,2633.180867
45.979,1059.741284
45.979,1038.825397
48.224,2419.946069
48.925,2587.666667
48.496,2526.768324
48.496,2483.906672
48.294,2464.803559
48.294,2486.923774
48.355,2368.760077
48.355,2386.321232
48.574,2413.039199
48.574,2408.475833
48.367,2436.053163
48.367,2427.392313
45.979,1034.761905
45.979,1040.031746
48.368,2465.959184
48.368,2417.079444
41.192,1801.947999
48.398,1742.24419
41.195,3864.837291
48.421,3835.713695
41.195,2458.408163
48.419,2425.098289
41.195,2417.97669
48.419,2439.221521
48.618,2424.827917
41.494,2455.709629
48.422,2380.516312
40.619,2407.411293
48.971,2605.63085
42.513,2617.046802
48.276,2418.098773
40.827,2452.401633
45.979,1069.59785
44.995,1044.13039
48.417,2447.083594
41.36,2446.789354
48.298,2474.828397
44.653,2484.793956
48.535,2520.3836
42.146,2520.2632
47.108,2285.55583
45.832,1928.695122
48.224,2391.141355
48.928,2592.724932
48.376,2414.598889
48.327,2489.797676
45.979,1036.190476
45.979,1054.499279
48.355,2389.165736
48.574,2419.350789
48.358,2378.832908
48.571,2421.570163
45.979,1049.143203
45.979,1057.14368
48.489,2466.645592
48.684,2501.791167
48.204,2397.508392
48.504,2468.766426
48.367,2403.404637
45.979,1054.306219
48.368,2428.880091
48.294,2494.714985
48.496,2499.927298
45.797,1892.341673
47.108,2519.402982
48.096,2130.349594
44.433,1689.705051
48.097,2092.850508
44.48,1689.852711
47.121,2040.247457
47.121,2036.877073
47.122,1995.495299
47.122,2023.93078
31.966,2038.631352
47.187,2038.997131
32.242,2034.667724
47.185,2026.122537
47.13,3151.983181
47.072,1576.879032
47.122,2038.573333
47.122,2018.519665
47.121,2031.037322
47.121,2009.547464
47.108,2018.122206
46.877,2201.60742
47.101,2021.142607
46.894,2188.096235
47.086,1594.112433
47.131,2972.865981
47.122,2006.062687
47.121,2061.198354
45.979,1004.735833
47.114,2038.948916
45.979,1004.670615
47.111,2043.336191
47.056,2056.517292
47.137,2127.322358
47.142,2124.208178
47.055,2088.037256
47.114,2036.796485
47.075,2015.851282
47.102,2012.079471
47.07,2002.088462
42.037,5736.435088
44.474,8363.758059
48.101,8126.244306
47.116,7756.830968
47.116,7805.442308
47.116,7748.849462
47.116,7769.846452
47.129,11547.61921
47.129,11450.30162
47.079,5749.763478
47.079,5760.833043
47.103,7962.99793
47.103,7918.100625
46.877,8052.580892
46.877,8039.994904
47.096,7621.423841
47.096,7574.199778
47.072,7661.594298
47.072,7715.274946
48.127,8400.560878
44.453,6974.303521
48.051,8306.914747
44.315,6864.666667
48.101,8157.532099
44.473,6576.717662
48.748,2951.912069
41.16,2631.403846
48.101,8107.726708
44.475,6558.554229
47.177,7784.345085
47.177,7740.23871
32.231,7870.237764
32.231,7804.769427
44.475,6599.880494
48.101,8110.774327
44.475,6578.537313
48.101,8107.130435
44.457,5075.291987
48.081,5826.193043
44.495,9420.975521
48.11,12490.4
44.165,6857.274876
48.22,8543.85241
44.45,6766.387619
48.086,8139.245679
44.414,6527.802778
48.148,8074.992453
44.411,6347.784115
48.096,8021.474473
45.981,2846.479167
45.981,2789.443636
47.119,8497.661657
45.778,7359.657931
47.113,9476.218905
45.793,7322.052414
48.101,8114.285714
44.475,6556.039801
48.101,8156.770165
44.475,6562.623632
39.489,8202.732515
28.036,6682.000973
48.187,8138.534161
44.494,6608.913086
32.174,7443.833333
32.23,9576.292611
45.848,7289.888426
47.164,9416.1825
45.793,7293.695139
47.113,9480.364842
45.793,7341.98069
47.113,9410.8095
48.101,8093.639264
45.793,7283.764583
47.113,9476.41791
45.793,7291.013889
47.113,9490.580431
47.062,9322.989796
45.981,2846.217262
45.421,7097.866187
45.981,2787.48
47.097,9193.100687
46.966,7408.573059
47.106,7762.726022
47.048,9681.274272
47.047,8014.575569
45.714,7495.775
47.047,8013.416149
47.123,9770.30467
47.142,8090.051235
45.84,7567.898881
47.142,8152.674847
47.075,7480.546584
45.737,5326.087619
47.113,13066.09383
45.799,11054.18986
46.885,9615.613667
46.395,7775.066225
47.112,9657.622977
45.695,7350.043379
47.067,7678.946053
45.981,2832.074405
45.981,2792.52
46.877,8002.305556
47.103,7913.96
47.073,7955.494726
47.117,7878.570513
47.006,7913.760549
47.031,7837.899573
47.04,8155.471515
46.8,8258.902469
47.127,8255.963855
46.881,8167.10125
45.981,2844.613095
45.981,2821.761905
47.099,7933.338125
46.878,8011.148504
47.129,11506.04591
47.079,5791.704023
47.053,7705.437662
46.877,8053.740127
46.913,7693.052632
46.877,7955.507527
47.001,5899.868889
47.066,12138.75519
47.097,6054.330874
47.149,12008.13277
45.981,2787.676364
45.981,2847.10119
47.072,5775.206957
47.121,11578.35109
46.835,5892.511304
46.905,11856.35065
47.054,5916.427451
47.123,11685.03348
47.029,5650.626786
47.084,11603.11827
47.066,5604.087087
47.117,11406.84821
47.142,8140.417178
47.142,8070.87037
47.047,8005.101449
47.047,7998.47619
47.096,7628.774834
47.096,7586.186
47.072,7679.410893
47.072,7652.355482
47.116,7781.296178
47.116,7764.466667
47.106,7759.248602
47.106,7745.173333
45.981,2827.52381
45.981,2847.133929
47.177,7738.019785
32.231,7863.944515
47.169,7758.553118
32.764,7834.247134
45.981,2848.803571
44.997,2838.556548
47.103,7924.328125
47.103,7947.085
46.877,8053.17707
46.877,8049.401274
47.129,11500.03904
47.129,11501.69839
47.079,5746.987826
47.079,5755.942609
32.223,8125.009224
46.933,8038.405096
32.23,8016.773045
47.162,7917.173125
32.229,5843.194302
47.131,5761.097391
32.231,11693.13333
47.185,11494.86184
37.511,8072.593004
47.058,8015.768116
33.595,8210.495528
47.197,8108.503292
32.229,7772.76086
47.123,7636.096491
32.047,7690.935076
47.157,7567.544444
47.106,7646.36859
47.177,7768.587957
32.231,7823.880255
47.177,7738.317849
32.231,7867.024895
47.116,7744.941505
47.116,7787.458333
47.106,7796.993631
45.981,2789.033333
44.337,8202.58473
41.895,5685.734513
47.116,7743.12
47.12,7756.92735
47.056,7955.515304
45.981,2846.544643
45.981,2786.563636
47.142,8118.739712
47.047,8002.881988
47.089,7533.907285
47.072,7673.316667
47.096,7626.092715
48.739,2992.636158
41.213,2630.880769
48.059,8284.740041
44.328,6909.446809
48.026,8007.552621
44.338,6505.581955
48.033,8006.095178
44.318,6454.032576
32.791,7781.728632
32.791,7727.885591
47.036,7635.764706
47.087,7635.764706
47.087,7641.593028
47.975,8128.563147
44.165,6783.246043
48.015,7936.728632
44.251,6252.645503
48.071,7985.113376
44.297,6418.985013
48.006,8086.866667
44.307,6632.597567
48.153,8458.010366
44.078,6743.522727
48.031,12203.73833
44.341,9198.943316
47.991,5630.90991
44.275,4931.848185
48.026,8037.933333
44.338,6505.449624
44.338,6466.114035
48.026,8029.911111
44.382,6508.989474
48.097,8018.781551
28.033,6579.135309
40.154,8094.674948
44.338,6518.451128
48.026,8005.830189
44.338,6510.279699
48.026,7965.398312
45.715,7175.476761
47.024,9363.310553
45.706,7242.430303
47.029,8408.935673
47.051,9608.466667
45.777,7448.5161
45.996,2790.523636
45.996,2826.050595
47.013,9041.280977
46.893,7304.221528
46.952,9533.802956
45.643,7371.098174
47.018,9492.341544
45.625,7204.100233
46.999,9196.284192
45.378,6982.193674
47.036,12903.78951
45.732,10895.67991
46.824,9522.329966
46.341,7659.678747
45.715,7177.959155
47.024,9366.958794
45.665,5185.062745
46.977,7306.430573
45.786,7182.129577
47.081,9329.840404
45.715,7177.36338
47.024,9314.750337
45.715,7132.420804
47.024,9371.535678
32.727,7272.278241
32.791,9456.55058
48.026,7976.394937
48.026,8026.300629
45.715,7171.637324
47.024,9360.192965
47.066,8029.283644
47.066,7981.99875
45.996,2834.267857
45.996,2778.152727
47.028,7611.656645
47.028,7641.891068
47.036,7655.335948
47.036,7655.932026
47.087,7598.478947
32.791,7773.779915
47.087,7652.620479
32.791,7757.286325
47.034,5591.063393
32.79,5647.773451
32.792,11587.23406
47.1,11341.86667
32.783,8031.880255
46.874,7903.1
32.791,7892.594375
47.068,7826.45
32.79,7620.234868
47.053,7540.327111
32.583,7597.119205
47.074,7465.481081
38.189,7931.45
46.968,7902.78239
34.188,8073.586831
47.104,7986.271875
45.727,2785.974545
45.996,2840.193452
47.036,7555.227887
46.983,5613.428571
